crossing time (s)	slope (V/s)	crossing number
4810.274680	154.137535	3911
4811.266371	156.450269	3912
4812.291066	148.921583	3913
4813.302952	149.680740	3914
4814.314008	155.964423	3915
4815.358131	155.268812	3916
4816.343213	152.575025	3917
4817.376396	156.396476	3918
4818.387956	156.425892	3919
4819.374562	151.228589	3920
4820.405804	159.111371	3921
4821.403636	149.238172	3922
4822.428851	149.037732	3923
4823.437557	154.222676	3924
4824.477441	149.425218	3925
4825.460107	149.502043	3926
4826.468149	148.861288	3927
4827.487000	156.339793	3928
4828.526862	153.953352	3929
4829.536574	153.986034	3930
4830.546279	151.380064	3931
4831.524484	151.797810	3932
4832.576010	149.083786	3933
4833.583846	149.149993	3934
4834.597587	155.916644	3935
4835.594995	148.675259	3936
4836.604194	155.835399	3937
4837.622197	147.663509	3938
4838.637583	152.960053	3939
4839.660000	149.225862	3940
4840.680111	155.593059	3941
4841.692771	148.611194	3942
4842.701376	148.403363	3943
4843.689370	155.515250	3944
4844.713860	148.123227	3945
4845.742854	148.551050	3946
4846.754629	155.729416	3947
4847.762644	155.343580	3948
4848.778165	151.436374	3949
4849.781978	153.609731	3950
4850.834529	152.276185	3951
4851.833020	150.900489	3952
4852.839162	154.809087	3953
4853.847663	147.980811	3954
4854.852029	154.352970	3955
4855.881072	148.185776	3956
4856.892519	147.664360	3957
4857.882840	147.512883	3958
4858.921297	153.189217	3959
4859.889992	153.362600	3960
4860.962340	150.104481	3961
4861.916220	149.207397	3962
4862.965435	148.077122	3963
4863.969198	147.583393	3964
4864.986555	154.785890	3965
4866.000311	148.176839	3966
4867.012262	154.691737	3967
4868.006721	154.379355	3968
4869.041655	154.717653	3969
4870.073331	154.476539	3970
4871.078043	154.521854	3971
4872.089900	154.520738	3972
4873.102488	148.873684	3973
4874.108236	146.193274	3974
4875.116037	150.164305	3975
4876.135486	147.697051	3976
4877.124407	154.669181	3977
4878.153844	147.203133	3978
4879.162709	147.474847	3979
4880.190062	147.191756	3980
4881.213491	150.467019	3981
4882.206475	149.422040	3982
4883.217719	146.396878	3983
4884.256699	151.968837	3984
4885.258987	150.137133	3985
4886.260189	156.428578	3986
4887.291947	156.712257	3987
4888.283737	155.823685	3988
4889.317002	146.401171	3989
4890.326297	153.312083	3990
4891.318637	146.472291	3991
4892.338657	146.766024	3992
4893.368976	146.395598	3993
4894.370711	146.862115	3994
4895.391442	153.374620	3995
4896.374911	146.790508	3996
4897.414565	144.990978	3997
4898.400084	151.010260	3998
4899.424855	150.933978	3999
4900.440784	146.225154	4000
4901.466297	150.235848	4001
4902.483942	152.937511	4002
4903.479139	145.385742	4003
4904.492202	146.414300	4004
4905.515261	151.957221	4005
4906.499024	150.044103	4006
4907.528629	149.907227	4007
4908.554267	151.091644	4008
4909.580787	149.738180	4009
4910.574229	149.749280	4010
4911.593857	153.883369	4011
4912.604591	148.709416	4012
4913.604671	145.704433	4013
4914.628843	154.393089	4014
4915.637579	144.851791	4015
4916.640693	152.393247	4016
4917.685175	150.800267	4017
4918.688157	151.596015	4018
4919.709827	144.827563	4019
4920.694153	144.767416	4020
4921.735433	144.664149	4021
4922.726907	151.271149	4022
4923.751135	152.941058	4023
4924.753228	144.221166	4024
4925.808422	150.320300	4025
4926.761079	149.516484	4026
4927.793252	143.486869	4027
4928.833158	148.248080	4028
4929.832977	148.753787	4029
4930.855143	145.663950	4030
4931.838417	151.195184	4031
4932.879905	149.976678	4032
4933.885154	150.849426	4033
4934.892400	142.702450	4034
4935.912536	144.374167	4035
4936.922311	142.601464	4036
4937.928065	144.315509	4037
4938.961520	142.651521	4038
4939.970524	144.121696	4039
4940.979246	143.519868	4040
4942.010449	148.149836	4041
4942.993291	140.983350	4042
4944.026899	146.478746	4043
4945.028483	148.845053	4044
4946.031844	149.498095	4045
4947.058037	147.000715	4046
4948.065374	143.570343	4047
4949.082280	147.869794	4048
4950.082264	143.180617	4049
4951.092793	147.811084	4050
4952.117092	142.217020	4051
4953.132645	147.631126	4052
4954.157962	145.655602	4053
4955.140086	140.496730	4054
4956.194147	143.229145	4055
4957.169814	141.921362	4056
4958.192133	147.744578	4057
4959.204817	141.943207	4058
4960.235538	147.401282	4059
4961.211641	145.696358	4060
4962.261372	142.699374	4061
4963.256247	148.516576	4062
4964.289859	145.986164	4063
4965.266479	141.626290	4064
4966.312036	145.633841	4065
4967.295130	145.570826	4066
4968.342640	141.388364	4067
4969.322404	141.229074	4068
4970.357840	144.899713	4069
4971.370415	141.504984	4070
4972.396699	140.258153	4071
4973.398533	143.057259	4072
4974.427400	145.342784	4073
4975.409303	140.996370	4074
4976.430906	139.322495	4075
4977.440096	146.429723	4076
4978.471302	140.796178	4077
4979.454162	144.123302	4078
4980.473346	145.362040	4079
4981.499886	144.970698	4080
4982.504835	145.287072	4081
4983.536394	144.412566	4082
4984.544265	137.920080	4083
4985.544129	139.474370	4084
4986.573810	139.610921	4085
4987.580846	142.634061	4086
4988.589346	145.719512	4087
4989.593692	141.606426	4088
4990.621835	143.909238	4089
4991.613272	138.667865	4090
4992.658212	139.263398	4091
4993.645397	135.914810	4092
4994.680991	1.530929	4093
4995.525191	10.594754	4094
4998.723229	16.907619	4095
4999.106955	7.302248	4096
5000.977606	-4.905017	4097
